st;course1_3;course1_4;course2_2;statement1;statement2;gender;profile;living
343268;1,97193925023512;2,9;5,47078115055822;4;5;1;1;1
343269;6,83408781689653;5,8;2,57717830046342;1;6;2;1;1
343270;4,377606204284;8,2;2,17195369576896;5;3;1;2;1
343271;1,22922417936481;1;6,13016900383788;4;5;2;3;0
343273;2,58859032084674;3,5;4,69554476524427;5;3;1;1;0
343274;5,74459367290444;5,1;6,24535413552192;6;2;1;1;1
343275;1,42087880203777;4,4;4,53305966785116;6;2;2;1;0
343276;7,34924851833124;7,2;3,38090320970894;1;1;2;2;1
343277;5,85397394841646;4,6;6,94147088683878;2;2;1;2;0
343278;8,35510117502096;8,9;8,12864792169248;6;5;1;2;1
343279;5,19819544377948;3,8;3,39081156983737;3;4;1;2;1
343280;3,37732825800583;4,6;3,99148964317156;7;2;2;2;1
343281;1,59075911484467;1;4,48664566141796;7;5;2;2;0
343282;4,78744650704185;3,9;5,74724812482064;7;1;1;2;1
343283;7,80411627398336;6,6;6,64863442841069;1;4;2;2;1
343284;1,04301325687144;1;6,21276030435143;4;6;1;1;0
343285;7,36810670344614;5,4;4,85795112436019;3;6;1;1;1
343286;7,5156968597131;10;4,79945385056581;2;1;2;3;1
343287;3,67380806831443;1,2;4,72675319663869;6;4;1;1;0
343288;3,07300143498962;1;5,79133442952585;4;4;1;2;1
343289;5,73920715637223;4,2;5,97581092095606;1;4;1;2;1
343290;1,81715168135243;5,3;7,86749503520032;1;1;2;3;0
343291;5,36032512555287;2,3;2,59644661688242;4;3;1;1;0
343292;4,0560298247989;6,8;3,65834865035985;7;7;1;1;1
343293;5,38178461289276;6,1;4,5783142029838;1;3;1;1;0
343294;0;2,2;6,54220564157522;5;7;2;2;0
343295;,485591685739344;1;5,13366367735882;5;3;1;1;0
343296;7,47474610080166;10;0;1;2;1;2;1
343297;,921731156844614;1,7;6,10610994451434;6;2;2;1;1
343298;2,73780024535197;2,1;4,37839404046357;7;1;2;1;1
343299;4,20576804864677;3,1;4,13900068471374;1;4;1;2;0
343300;4,4677849477955;6,9;8,30681069100504;2;6;1;2;0
343301;6,26003793031;7,8;4,50885266471303;4;2;2;2;0
343302;4,34193064938763;2,8;4,10989769120664;4;2;2;1;0
343303;7,76883278533803;10;8,48511688081944;3;4;2;1;0
343304;6,19406376811698;8,5;1,76498418718469;2;2;1;1;0
343305;5,97330663715776;8,2;4,8225524342759;1;4;1;1;1
343306;2,03646733331134;1;5,0361029014719;3;3;1;1;0
343307;,402535970165053;1;6,20872812437857;5;3;1;1;0
343308;6,21018332362961;4,9;3,53946553229431;5;2;2;4;0
343309;3,69976339932024;4,6;6,36458561429115;6;6;1;1;1
343310;4,24887819709704;4,8;3,54282112243937;3;2;1;1;1
343311;1,05131046412817;1;6,08281921331867;4;4;2;1;1
343312;3,84034144130393;5,4;3,246098552882;3;7;1;3;1
343313;3,30890893417689;1,4;4,33479768923381;6;6;2;1;0
343314;3,61867466945163;3,4;2,01760751865698;2;1;2;1;0
343315;5,27104405411661;3,7;7,80760197831943;4;1;1;1;0
343316;3,41027751509719;1;5,01032589856379;7;6;2;2;1
343317;3,08888290138903;1,6;6,53654506834617;2;2;2;2;1
343318;8,18122069631052;9,6;4,98778954492268;1;4;1;2;0
343319;4,95238831971848;3,4;0;1;5;1;1;0
343320;1,81035069375554;1;3,57717876816541;2;5;1;1;1
343321;5,73228272024799;6,8;9,34745112009695;5;5;1;1;1
343322;9,62442069506787;8,8;4,32536301204946;7;7;2;1;0
343323;4,04745748052453;4,8;3,75451964455123;6;2;1;2;1
343324;4,57258239210324;4,2;5,06484301405322;7;6;1;1;0
343325;7,35790627566245;7,4;3,67757976858299;2;6;1;1;1
343326;6,41872328540206;7,9;5,992702120404;7;1;1;2;1
343328;4,33892264656422;3,2;7,45434703646055;2;2;1;1;0
343329;8,24576715029815;7,7;8,37930006531786;6;2;1;2;1
343330;5,79215514195143;5,8;5,07572174541147;4;5;1;3;1
343331;7,39609752254835;6,2;3,90028567863688;4;5;2;1;1
343332;6,18673957044872;7,7;6,10704332712864;5;3;2;2;0
343333;4,10388439887797;2,9;2,35592975435317;6;4;2;1;0
343334;7,14024792429109;4;9,09298741896117;1;3;1;1;1
343335;4,21663639407319;1,4;7,60873745351743;7;7;2;2;1
343336;4,17634764169782;3,1;4,78928439672424;2;1;2;2;0
343337;4,63898107483369;3,7;4,28979367875154;2;6;1;2;0
343338;3,52460366805169;1,2;4,1802818632256;4;3;2;1;0
343339;5,96675287339137;4,7;3,98812885550209;4;4;2;1;1
343340;4,76595861696463;4,2;5,8122318702889;2;6;1;1;0
343341;5,44351009382815;3,8;7,40203954880684;2;2;2;1;1
343342;5,14767749039802;7,3;5,71992431348098;1;6;2;3;1
343343;1,81513270064012;1;2,9975671182357;1;5;1;3;1
343344;4,80729962256642;6,5;1,8061887345272;2;2;2;1;1
343345;7,58972146763368;5,8;4,36676871625503;3;5;1;1;1
343346;3,3511284334599;4,8;6,62498856351936;1;5;2;3;1
343347;3,30963248827744;1;4,08730422819108;6;4;1;1;1
343348;4,37357996871044;6,5;3,58957243734475;5;6;1;1;1
343349;3,67222745208365;6,5;4,75992617445454;1;2;1;1;1
343350;4,70538876634953;8,8;4,09872997079127;6;6;2;1;0
343351;4,40832225415284;6,3;7,15102134886278;5;4;2;3;0
343352;2,43877131533328;1;4,88778298966898;5;7;2;1;0
343353;4,49495468719824;5,8;6,46511266042647;2;2;1;1;0
343354;5,21131285347303;2,8;2,17117318476721;3;3;2;1;1
343355;5,5796983213216;9,9;5,080929754577;5;3;1;3;1
343356;5,50042260078006;5,2;6,76364784583438;2;3;2;3;1
343357;5,68830977133288;3,8;4,81279941972183;1;7;1;1;1
343358;3,46091567942892;1,7;4,81276297126671;6;5;1;2;0
343359;7,77659868812229;9,6;7,09701509606103;4;5;2;1;0
343360;2,84347634390669;1,9;5,02338631122027;6;1;2;2;1
343361;1,48305502739174;6;4,47151830278897;3;1;2;2;0
343362;4,02642494553938;4,7;8,52167962040811;2;2;1;1;1
343363;5,49154684640564;5,6;7,26768957052887;1;6;2;2;1
343364;3,9725834560449;1,4;6,18905488574508;5;7;1;1;1
343365;2,84485867303683;1,9;7,26343921342084;23;1;2;1;1
343366;7,22795559577891;10;4,4677048134891;7;2;1;2;0
343367;7,65786176021958;9,8;4,2575333713571;5;6;2;2;0
343368;6,40753071064318;8,7;3,84887680565419;4;6;2;1;1
343369;6,15388104459199;7,5;8,42395361959416;1;2;1;1;1
343370;4,78394627015555;7;3,39814530069859;3;4;2;1;0
343371;4,2814246439534;2,6;7,7782102482883;5;3;2;1;1
343372;6,05477947208108;3,4;7,97083586899397;7;1;2;3;1
343373;4,97588195124324;6,2;5,73677998173159;7;2;1;1;0
343374;4,60523411369642;3,9;5,63425039942929;5;2;1;1;1
343375;3,66482250845512;2,3;6,05110091822629;3;2;2;2;0
343376;4,25267084169684;3,9;3,39728940928889;3;6;2;3;0
343377;5,28689466177724;5,1;1,81916251759649;2;1;2;2;1
343378;5,3617811951483;2,7;8,82899418834085;5;7;1;1;1
343379;5,55875609676445;5,3;1,87553166547309;5;2;2;1;1
343380;5,75745096231134;6,3;5,73525036097375;45;1;1;1;0
343381;2,84821225595197;5,4;7,71028241825969;3;4;2;1;0
343382;3,79325728709078;1;2,17184564042018;6;2;1;1;1
343383;7,04204114553887;8;5,32660219421385;3;4;2;1;1
343384;3,0063870155623;1;6,42336692710967;4;1;1;2;1
343385;5,72492441335114;7,3;5,40048189157157;1;2;1;1;0
343386;9,05811140864559;10;7,27477870183634;2;6;1;1;1
343387;3,67073969443644;2,9;4,31968247708935;2;7;1;1;0
343388;5,00789487455228;3,7;2,66538058531684;3;4;1;2;0
343389;4,74340982710234;3,1;4,00748794062376;3;3;1;1;0
343390;7,30715066717561;6;1,33138361726768;4;5;2;2;0
343391;6,44218913979048;5,8;3,52515734706663;5;5;1;2;0
343392;8,47842024957412;5,9;2,08861146742059;2;4;1;1;1
343393;3,04189214437615;3,9;8,26267501851252;2;3;2;2;1
343394;5,89623821430816;4,6;6,45214670886739;2;7;2;4;0
343395;6,71820354624287;6,2;5,40832947838203;4;7;1;1;1
343396;2,27637894610357;2,9;2,034504023058;3;2;1;1;0
343397;3,54229269957654;3,1;6,71373461893165;1;4;2;1;0
343398;3,10053066713753;3,1;8,88293887501041;4;1;1;3;1
343399;4,53760462911054;2,9;3,10186912121486;5;2;1;3;1
343400;5,39934929191489;4,8;6,86988777736857;3;5;2;2;0
343401;3,48821527556666;4,7;4,33589558699712;4;1;1;2;1
343402;5,51638108509755;9,2;3,15520035620986;3;3;1;1;1
343403;3,35212399062546;1,8;5,6870027863881;6;4;1;2;0
343404;7,02874746476476;6,1;4,32105720870355;5;6;1;2;0
343405;,319490861947808;1;9,49031015148641;7;2;2;3;1
343406;3,79223392806003;1,4;8,07159039751428;2;4;2;2;0
343407;3,62619764789042;3,8;7,05028239730178;55;4;2;2;1
343408;4,29648924802347;6,9;3,77508012749009;23;5;2;2;0
343409;1,24816186965276;1;4,88888475801639;5;5;1;2;0
343410;3,22685383414046;2,2;7,89340213198474;3;2;1;1;0
343411;8,10509675576248;10;3,41146356587108;5;7;1;1;1
343412;5,9747292692149;6,8;6,40244181691317;1;1;2;2;1
343413;5,61821528644608;10;8,34099996485963;1;5;1;1;0
343414;3,86002650900852;2;1,94933986330812;3;5;2;2;0
343415;5,42812836268014;1,6;3,32058236039055;7;5;2;1;0
343416;,567675002871065;1,6;7,20762211996927;4;6;1;2;0
343417;4,69800374355092;4;5,83340508096118;3;2;1;1;0
343418;3,57588456479794;1;3,29584699489787;3;3;1;1;0
343419;3,75375050864233;2,7;4,30771072972506;2;1;2;1;1
343420;5,91876319180778;7,2;3,75368506843545;6;6;1;2;1
343421;3,54149426813155;5,6;6,42967813727333;5;7;2;1;1
343422;5,01672639582504;2,4;7,24367554003868;7;3;1;2;1
343423;2,9804056653235;2,9;8,83934814866632;6;2;1;3;0
343424;3,90714143170438;5,8;1,80677192654945;5;5;2;1;0
343425;1,69268901173058;1;2,88457484088803;5;7;1;4;1
343426;6,80958427467819;7;1,58656138370432;4;1;1;3;1
343427;0;3,1;4,09421851529394;3;1;2;2;1
343428;4,79579934425949;5,8;5,15462565318599;3;7;1;1;1
343429;1,87672602143476;3;9,9;5;4;2;3;0
343430;6,92113182807446;7,5;,87836159722486;7;5;1;2;1
343431;4,98213583877792;3,9;7,16775855933821;5;6;1;1;0
343432;3,06753099540387;7,7;6,37937958535364;1;7;1;1;1
343433;6,80476789315369;5;5,6831959117795;4;7;2;1;0
343434;5,41627639000621;7,4;5,41354788172299;3;2;2;2;0
343435;4,3921781536577;7;3,39897712662921;2;3;1;2;0
343436;2,36499800924936;1;3,12228527061726;7;2;2;1;0
343437;4,48152040714679;2,8;7,18637598207538;2;5;2;3;0
343438;2,84998948067669;1;9,55441758722648;4;3;2;2;0
343439;3,73413260806725;1,5;5,25622285970855;2;2;1;1;1
343440;4,38065406983134;3,9;3,54593742740424;5;4;1;2;1
343441;2,71817175524836;1;7,16232301454255;6;4;1;2;0
343442;4,19911511842885;4,9;1,0822596027994;3;4;2;1;0
343443;3,14340079043365;3,8;5,58920374192232;1;4;1;2;1
343444;5,76122444904665;7,6;4,66786750549439;4;4;1;1;0
343445;5,92087749090236;6;4,88521006080838;3;2;1;1;0
343446;6,79878171419659;8;6,66682119322622;7;3;2;1;1
343447;1,9040865012842;1;2,46613555719185;2;2;1;1;0
343448;3,0611248592083;1;3,52462729109098;6;1;1;1;1
343449;6,16732587006492;3,8;3,20758685853726;2;5;2;1;1
343450;1,38461443451439;1;6,76982838979487;4;7;2;1;1
343452;8,07260628179109;10;6,90051508006807;1;1;2;3;0
343453;7,44326895471621;1,5;6,6305170031725;6;1;1;1;0
343454;4,1747078991536;1;6,145823287298;3;1;1;3;0
343455;6,24365734788831;6,7;7,4748643456699;4;3;2;2;0
343456;4,68503225435149;7,2;3,20584560213791;5;4;1;2;1
343457;7,6050249566219;10;4,74277301055302;7;5;1;2;0
343459;4,01847250170203;5,5;6,70473786689617;7;5;1;1;1
343460;8,92368866999775;10;8,6333547633498;4;7;2;1;0
343461;4,77727586621606;4,1;7,00089168103918;6;5;1;1;1
343462;7,1345045111374;10;7,27196133935082;1;1;1;1;1
343463;2,81781070556928;2,4;3,99121986072106;6;7;1;2;0
343464;3,23072741739087;4;4,08639715811978;3;6;1;1;1
343465;8,51283277510342;9,6;3,3594066071376;6;4;2;2;1
343466;8,37842006912495;8,8;1,89164052087648;2;2;1;2;1
343467;8,59470192247733;7,1;4,06368617828586;3;5;2;1;0
343468;1,5691348391137;1,7;3,61990381151396;2;6;2;1;0
343469;7,80118535923667;7,7;3,93284017935026;2;3;2;3;1
343470;4,60113868575245;6,6;5,65451782396886;1;4;2;1;1
343471;3,3490235662888;2,8;8,39562594921575;8;5;1;1;1
343472;6,69906195987686;8,5;5,6105406044962;5;7;1;1;1
343473;4,29874235927784;1,8;4,19624765514515;1;5;2;2;0
343474;7,21687481757219;4,3;4,02473886607139;4;4;2;2;0
343475;2,99481791770146;4,2;7,45135180980111;3;2;1;3;0
343476;1,10890477557668;1;5,45190968235387;6;3;1;1;1
343477;,988566860737159;3,5;4,3608996177535;1;1;2;1;1
343478;7,66067496173454;4,7;5,03813020769869;1;2;2;1;1
343479;5,02004155288985;2,4;2,80284984177869;4;1;1;2;1
343480;2,1825649241367;1,4;5,66699910271447;6;1;2;2;0
343481;2,28733923642913;5,1;7,55479520740159;5;7;1;1;1
343482;1,15460083957028;1;4,78437350653115;7;5;1;4;0
343483;5,43966392362491;3,4;9,26289912866271;6;2;1;4;0
343484;2,56670098076745;1,2;5,28757553030644;6;2;1;3;0
343485;2,28870085826032;1;6,7442499957674;4;6;1;1;0
343486;7,72857586849707;8,8;2,86072750370597;2;4;1;1;0
343487;6,03657517160556;6,5;4,9698220794223;2;6;2;3;1
343488;6,48077813565425;6,8;6,12150445155029;2;4;1;3;0
343489;5,88270770903324;6,7;6,79432966780491;3;6;2;1;1
343490;5,35260693898895;8,6;6,27308684817975;3;5;1;2;0
343491;7,88158211844292;7;1,31015718395331;2;1;2;3;0
343492;3,3021278215424;2,7;1,53447652297649;2;5;1;1;1
343493;8,93762145197512;9,2;6,02853627863517;1;7;2;1;0
343494;9,2774901132185;6,4;3,03911056100807;1;5;2;1;1
343495;0;1;6,88954224018782;7;3;2;1;0
343496;3,67491046347546;3,2;2,77773935795904;3;3;2;1;0
343497;5,67676047810264;4,6;9,12309444422136;4;7;2;2;0
343498;5,50420639000614;7,8;7,3104750741604;6;1;2;1;0
343499;1,53028939415275;1,2;5,28075141736431;5;2;1;4;1
343500;4,25128962194958;2,2;5,96303146590871;1;3;1;2;1
343501;3,05944963513853;3,2;2,63660834351408;5;3;1;2;0
343502;3,18637482800276;4,5;8,07491792469164;3;1;1;1;1
343503;,890967179519976;1;4,30424954187161;6;6;1;3;1
343504;2,34004141546015;1,5;7,20545808569904;6;1;2;1;1
343505;2,7869281704761;1,8;3,37801954218613;4;5;2;1;0
343506;3,81561778957727;1;5,25611820219173;3;3;2;3;0
343507;5,31287349516797;5,1;7,25506258777044;3;7;2;3;1
343508;6,19884383223284;7,3;2,46964564598529;4;3;2;1;1
343509;2,85998246041199;5;5,16464397513452;1;3;1;1;0
343510;7,68212648345523;10;3,4621688736879;5;3;2;3;1
343511;4,86577658486245;3,2;4,01289567891419;1;3;2;1;1
343512;8,33901970229565;4;4,38084398097408;4;7;2;2;0
343513;5,37709311550411;4,2;6,9594174342683;7;4;2;1;0
343514;5,1681779290004;4,8;4,43028527851535;6;4;2;1;0
343515;6,85024386990974;9,3;2,82500735254278;3;5;2;1;0
343516;6,78623629696011;7,6;3,77087086941566;99;7;1;2;0
343517;4,76859906810039;1,8;4,29149739005357;3;5;1;3;1
343518;2,98696600685744;5,4;3,88775474475649;3;2;2;2;0
343519;5,76115562645375;3,4;2,8735383557181;4;5;1;2;1
343520;5,96356697227842;3,5;5,2086948650149;6;5;2;1;0
343521;2,93563294170169;7;4,34765875522546;4;4;2;1;1
343522;5,68903421953622;6,1;4,05537329705772;7;5;2;2;0
343523;5,95409125895693;10;3,31834494252571;3;6;2;2;0
343524;5,4371308638697;5,4;,333510585073206;2;4;2;1;0
343525;8,62065327915916;10;9,9;5;6;2;1;0
343526;4,05745266086413;4,7;5,35659235907312;5;5;1;3;1
343527;2,77085126911139;3,6;5,59477708543087;6;7;2;1;0
343528;4,87009796690187;3,2;2,80670419220816;5;1;1;2;1
343529;6,64351126009463;5,9;3,8437819862922;2;4;2;3;0
343530;2,69999602145388;4,1;6,20738139931299;5;6;2;1;1
343532;9,23039740815194;7,7;3,91329044589173;7;3;2;1;1
343533;4,54303326930511;5,1;0;1;7;1;1;1
343534;5,40376464549098;6,8;6,73304766948439;1;3;2;1;0
343535;4,52515678475557;3,4;8,2368868626143;5;5;1;1;0
343536;7,81706311079509;8;3,33908683702014;1;7;1;2;1
343537;5,61682145538161;6,9;6,80853731840472;4;4;1;1;0
343538;3,85763472203478;6,3;5,22334173532683;1;4;2;1;0
343539;7,29935224571884;9,6;5,07796642865338;3;2;2;1;1
343540;7,88221391136735;7,4;3,87081105608579;1;3;2;1;1
343541;8,50465382557743;6,2;3,63710972454018;2;1;1;3;0
343542;4,05405426753232;2,9;2,37945881702418;4;7;2;2;1
343543;3,01848953399582;1;2,9793490382773;6;7;1;2;1
343544;3,37866912167472;3,8;8,10781858994005;5;7;2;2;0
343545;7,11590921721205;10;4,01452506550604;6;3;1;3;1
343546;3,79345873407744;5,1;8,85646146991184;2;3;1;1;0
343547;3,77762459520564;6,1;2,13512165987979;2;2;2;1;1
343548;6,21810770824578;10;9,9;1;7;1;4;0
343549;6,46892730890283;9,2;4,87609050313829;2;3;2;2;0
343550;5,36066314386081;7,1;5,96399726268122;2;4;2;1;0
343551;0;1;5,51503218010822;3;4;1;1;1
343552;6,59357855546396;9,2;,922683508115476;7;1;2;1;1
343553;,472176877761685;1,3;1,96922447269411;3;4;1;3;1
343554;2,1527369130906;1,1;4,08473447336126;4;1;1;1;0
343555;3,37619312852314;1,3;6,46672855076075;5;1;1;2;0
343556;2,53044689880317;4,5;3,09849028572098;6;2;1;3;0
343557;5,20340805402489;3,2;9,9109516411697;2;1;1;2;0
343558;8,91694512122448;6,1;4,54088642616752;5;3;1;2;1
343559;3,87110292937386;1,2;7,27347757702585;4;1;1;3;1
343560;,80607596595021;1,8;4,22537704136301;3;3;2;1;0
343561;7,69028698571774;7,4;2,63862187258944;4;2;1;1;0
343562;1,37055668055607;1;9,9;2;4;2;2;1
343563;3,99389018124378;2,4;8,68205891032313;3;5;2;2;1
343564;2,1029818095775;2,4;6,24488180625615;5;5;2;2;1
343565;7,70926853943457;9,6;5,50494166623077;7;3;1;2;0
343566;5,23732409804069;1,5;5,93432883904388;5;6;2;3;1
343567;1,93932102607524;1,9;4,24538282558987;7;2;1;3;1
343568;2,57456810540563;4,9;3,21088873977479;6;1;1;3;0
343569;5,90927373831631;9,1;5,64537858644432;1;6;2;2;0
343570;8,07510248627449;10;5,66124587773179;7;7;2;3;0
343571;6,11731228664112;5,2;5,84997910410859;2;2;2;2;0
343572;6,33198475429184;3,9;9,91573905772643;6;6;1;3;0
343573;5,61408223353709;2,8;9,47675178903956;2;5;2;2;0
343574;3,78222571355065;3,9;4,99479753378858;3;3;2;1;0
343575;5,01033314572674;6,4;5,20563004881971;7;2;2;2;0
343576;4,23008300660594;4,2;,41085064687668;7;4;1;2;1
343577;3,69883749821798;6,7;2,58895278887885;7;2;2;1;1
343578;4,9401344632695;4,5;4,81289871611688;5;2;1;2;0
343579;3,74370154302203;3,1;4,37194156025423;2;5;2;1;0
343580;3,47110580477957;2,7;7,62881162678249;2;7;1;3;0
343581;2,49765471849897;4,3;4,41922819565957;2;6;2;2;1
343582;3,74951967636198;4,1;6,8344226149031;5;1;2;4;1
343583;3,05757122042043;2,3;3,97112535606287;4;5;1;2;0
343584;3,20841409911635;1,7;7,89539317282963;7;3;2;2;1
343585;4,38072178851987;5,8;4,77807036085386;2;2;1;1;1
343586;5,1165988765547;8,6;4,66251903408403;2;7;1;1;1
343587;2,74554341102168;1,3;3,35238154100794;3;1;2;1;0
343588;3,29066353759132;4,6;5,60894185747659;5;3;1;1;0
343589;7,90067251732741;8,9;1,21319157250148;6;7;1;3;0
343590;5,23635130913318;2,8;7,03786775335055;4;2;2;2;1
343591;4,2285560397287;4,4;5,95821551782346;7;4;1;2;0
343592;6,00449890688669;7,2;1,24857280226207;6;2;1;1;0
343593;3,45841767823434;5,3;5,23569566518399;7;6;2;1;0
343594;4,28010152145878;5,2;2,91169675863763;1;7;1;1;1
343595;5,95746557698516;5,9;4,58094388203109;2;1;1;2;0
343596;7,09029436138932;5,3;6,4641081346114;2;1;2;1;0
343597;4,55363555308456;4;3,81812601434919;4;7;2;2;1
343598;4,97558281359182;7,4;6,74928816570133;3;3;1;2;1
343599;2,51996385579272;1;4,37333934384287;3;6;2;2;1
343600;5,47678771004486;2,6;7,14623941827254;6;2;1;1;0
343601;2,86705169007678;1,9;2,14144488348747;6;6;1;1;1
343602;5,91006190073633;7;3,71375779625347;2;5;2;2;0
343603;3,64485494288743;3,7;3,83839214541427;2;7;2;1;1
343604;3,90158454548922;2,9;5,78185958671393;1;2;2;2;0
343605;4,12346205353264;5,2;6,26809956050071;1;3;2;2;0
343606;3,24403310758254;4,9;,246922635523246;7;4;1;3;1
343607;1,23927455249027;1;6,29510037043659;3;5;2;1;1
343608;5,62879378846285;3,6;6,97446424391897;3;6;2;2;0
343609;1,17360554531263;1,4;2,51517583828575;3;4;1;2;0
343610;3,07982439125889;1,9;4,67451358751079;3;4;2;2;1
343611;5,23321981097648;6;4,30124414921956;3;6;2;2;1
343612;4,93926940983592;2,7;3,76474667859197;7;2;2;1;1
343613;5,40833485844428;6,7;3,7670621345496;3;2;1;1;1
343614;6,11488553156422;2,2;6,86040736735406;4;3;2;1;1
343615;4,91028281357121;2,9;6,29535859688454;1;5;1;1;1
343616;7,52780038498118;9,1;8,22974569629877;3;5;2;1;1
343617;6,35523773296814;2,1;6,98784782174976;4;3;2;2;0
343618;6,28157556592175;5,4;4,70991980971731;6;7;2;2;0
343619;3,80404691121123;2,6;3,85713582402876;2;7;1;3;1
343620;1,26772433111558;1;6,51540663175287;6;5;1;1;1
343621;1,70233730504838;5,7;4,23187841303417;5;4;2;2;0
343622;6,61689407233333;7,6;5,83342170483321;5;3;2;2;1
343624;8,65892312028049;10;0;6;6;1;4;1
343625;7,76576493674062;6,7;2,4155867395707;1;5;1;1;1
343626;2,93984780037066;4,4;4,46350572889359;1;4;1;2;0
343627;2,73929104374396;4,3;4,65247591610293;2;6;2;2;0
343628;1,73237283739823;1;9,05341276821828;5;4;2;1;0
343629;2,58537734376358;2;3,56030004849397;5;7;2;1;1
343630;7,36818165410365;4,1;3,09010199746232;3;1;1;3;0
343631;5,8355758926812;8,2;1,52282099625852;2;2;1;2;0
343632;5,18463685873878;4,7;7,09721526389197;6;3;2;2;0
343633;5,295590894746;2,4;5,81570949162127;3;2;1;2;0
343634;3,54960942946833;1;4,47622860797083;3;6;2;1;0
343635;5,39790568440494;3;1,89358589782407;2;3;2;1;1
343636;6,25989052946392;4,4;2,88406290518908;5;7;1;1;0
343637;2,51654447459261;4,7;9,40719348209741;7;7;2;3;1
343638;6,96322676521668;8,5;6,59300514023967;3;6;1;2;0
343639;3,78112451210165;1,7;4,50438147641608;4;1;1;1;1
343640;6,15256767395342;3,9;3,40459832500338;4;2;2;2;0
343641;7,50850800237558;8,4;6,04644551288945;4;5;1;3;0
343642;4,47629115009558;2,1;3,41654742029357;6;6;1;1;0
343643;4,46893816816203;6;4,77353063010704;5;6;1;3;0
343644;4,77870992478023;4,4;4,37045687664444;2;2;1;1;1
343645;4,3506853062694;2,4;6,75289912220801;1;3;2;2;1
343646;5,27713966749651;7,4;4,34482812800531;6;1;2;1;1
343647;1,01226465277287;2,2;6,02870530744558;3;7;2;1;0
343648;2,48459150835834;4;7,56824072627341;1;3;2;1;1
343649;2,898330443532;4,3;4,84221886956572;5;3;2;2;0
343650;2,85891730721378;2,1;6,38491367966944;5;3;1;1;1
343651;5,29688782166221;7,4;6,72519146275861;7;2;2;3;1
343652;5,73931753156363;7,4;1,74868238346814;3;4;1;2;0
343653;5,95813443183818;6,8;9,72657354252537;2;3;2;1;0
343654;3,28131488659483;1,3;6,47783886246263;1;3;2;2;0
343655;3,91433652013887;4,1;7,07243239402387;4;7;2;1;0
343656;3,64494574380404;3,3;5,74694445848628;5;1;1;1;1
343657;4,98815565718327;3,4;4,60939569749017;2;5;1;2;1
343658;6,38080842498279;5,3;6,97047915179578;7;3;1;2;1
343659;7,12628916955585;7,6;,878270335076515;5;5;2;2;1
343660;2,28581695073036;2,2;5,38311639862963;7;6;2;1;1
343661;7,09729872944505;7,8;7,71363776530089;5;2;1;3;1
343662;3,98481360029774;2,8;4,52717381886168;2;7;2;2;0
343663;5,32835836194764;4;2,4741936187478;6;5;2;1;1
343664;2,79603837251706;3,5;7,86591636312983;3;1;1;3;0
343665;3,15358348844611;2,8;4,10275587145493;3;4;1;2;1
343666;5,40270340522364;7,8;4,32055646979948;5;1;1;1;0
343667;7,41180607860227;6,2;8,00087213487858;5;7;1;1;0
343668;8,84997929862924;6,2;4,85482404426786;1;4;2;2;1
343669;1,48927817455225;1;3,86838359421213;7;2;2;2;0
343670;3,16343021337041;5,3;4,28397197778884;3;3;1;1;0
