Gender,Language,Group,Category,YearsOfEducation,YearsOfWorking,upportFromBoss,SupportFromParter,SupprtFromChild
0,2,2,3,3,28,16,56,160
0,1,2,3,4,24,28, ,160
0,1,2,3,3,22,20,28,108
0,1,2,3, ,26,76,20,120
1,1,2,3,3,26,12,72,36
1,2,2,3,3,26,16,64,36
0,1,2,3,7,36,20,72,120
0,1,2,3,9,16,40,92,128
1,2,2,3,2,4,12,52,52
1,2,2,3,4,28,12,44,92
1,1,2,3,4,36,12,80,100
0,1,2,3,3,34,8,52,36
1,1,2,3,4,10,4,64,80
0,1,2,3,4,26,8,8,152
1,2,2,3,4,36,20,28,60
1,2,2,3,5, ,24,36,92
0,1,2,3,5,26,16,24,48
0,2,2,3,10,6,36,56,84
0,1,2,3,10,32,48,88,128
1,1,2,3,11,12,52,52,68
1,1,2,3,4,36,16,44,100
0,2,2,3,3,32,20,72,76
0,2,2,3,10,10,40,80,92
0,2,2,3,1,38,4,12,68
0,2,2,3,6,20,32,40,108
0,1,2,3,1,10,8,12,68
0,1,2,3,1,26,8,12,68
1,2,2,3,14,14,64,80,72
1,2,2,3,6,38,20,68,96
0,1,2,3,17,38,76,96,92
1,2,2,3,9,30,28,28,64
1,2,2,3,5,10,16,60,80
1,2,2,3,9,12,40,28,64
1,2,2,3,9,36,36,28,64
0,1,2,3,8,24,40,60,104
1,2,2,3,7,20,36,76,80
1,1,2,3,12,2,44,72,80
1,2,2,3,14,24,60,52,88
1,2,2,3,9,10,40,48,92
1,1,2,3,12,22,40,96,104
 ,1,2,3,15,10,56,44,76
 ,2,2,3,15,16,68,44,76
0,2,2,3,6,28,36,76,64
0,1,2,3,17,20,76,80,160
1,1,2,3,15,26,68,44,76
1,2,2,3,17,38,68, ,88
1,2,2,3,16,38,72,80,104
0,1,2,3,12,12,44,76,116
0,2,2,3,14,38,48,88,116
0,2,2,3,13,16,40,64,120
0,2,2,3,7,12,32,96,160
1,2,2,3,13,26,64,72,72
1,2,2,3,16,16,60,88,84
0,1,2,3, ,6,28,100,160
1,2,2,3,8,24,28,64,104
1,2,2,3,12,10,52,88,124
0,1,2,3,12,6,56,88,156
1,1,2,3,14,36,60,64,108
1,1,2,3,14,28,64,128,132
0,1,2,3,8,18,40,100,132
0,1,2,3,8,30,24,96,160
1,1,2,3,18,16,76,44,52
1,1,2,3,14,28,48,84,124
1,1,2,3,8,10,32, ,160
0,2,2,3,12,22,48,84,88
1,1,2,3,16,30,68,64,100
1,2,2,3,14,34,44,88,104
1,1,2,3,11,16,56,92,112
1,2,2,3,16,12,56,84,112
1,1,2,3,12,24,52,60,120
1,1,2,3,19,38,64,72,96
0,1,2,3,20,18,68,72,136
1,1,2,3,19,26,76,108,108
0,1,2,3,18,18,76,92,116
0,1,2,3,16,14,68,104,160
0,1,2,3, ,14,76,112,144
0,1,2,3,18,18,76,92,116
0,1,2,3,16,16,68,104,160
0,1,2,3, ,14,76,112,144
