Gender,Language,Group,Category,ReadingComprehension,TechnicalReading,Spelling,Grammar,Vocabulary
1,2,1,2,20,19,42,16,5
0,2,1,2,15,12,46,44,18
1,1,1,2,11,14,44,38,3
1,2,1,2,4,5,30,14,18
0,1,1,2,11, ,42,28,1
1,1,1,2,16,18,26,10,12
0,1,1,2,11,13,66,32,12
1,1,1,2,11,11,62,28,15
1,1,1,2,13,11,38,34, 
0,1,1,2,7,6,38,26,12
1,1,1,2,9,6,38,36,17
0,2,1,2,7,8,80,48,6
1,2,1,2,10,13,42,42,19
0,2,1,2,12,15,72,56,7
0,1,1,2,8,6,50,44,16
1,2,2,2,9,10,46,24,5
1,2,2,2,14,11,52,44,17
1,2,2,2,9,10,32,14,6
0,1,2,2,7,6,32,28,12
0,1,2,2,2,4,44,4,13
0,1,2,2,3,5,54,14,11
1,1,2,2,12,11,40,36,1
0,1,2,2,1,2,34,6,13
0,1,2,2,6,8,76,42,2
0,1,2,2,8,6,80,48,15
1,1,2,2,11,14,56,46,8
0,2,2,2,10,11,28, ,19
 ,1,2,2,19,18,80,48,15
0,2,2,2,14,12,58,44,19
1,2,2,2,5,6,46,18, 
1,2,2,2,16,14,56,42,6
1,2,2,2,16,18,52,40,19
1,2,2,2,14,16,36,40,7
0,1,2,2,8,10,66,50,9
1,2,2,2,13,16,36,36,13
0,1,2,2, ,19,60,10,13
0,1,2,2,12,11,58,38,6
0,1,2,2,3,2,18,26,17
1,1,2,2,3,3,18,36,13
0,1,2,2,20,17,68,36,9
1,1,2,2,8,5,36,18,10
0,2,2,2,3,5,38,36,16
0,2,2,2,10,9,42,28,3
0,1,2,2,10,12,64,44,16
0,1,2,2,17,19,80,40,10
0,2,2,2,12,10,80,52, 
1,1,2,2,11,13,34,26,6
0,1,2,2,10,10,62,48,3
1,1,2,2,12,13,60,30,12
0,1,2,2, ,7,80,50,3
0,2,2,2,1,1,34,6,19
1,2,2,2,16,15,42,44,8
0,1,2,2,16,15,74,58,12
1,2,2,2,19,19,44,56,11
0,1,2,2,9,10,64,46,8
0,1,2,2,16,16,80,76,13
1,1,2,2,20,19,42,20,2
0,2,2,3,13,10,62,50,2
0,1,2,3,11,10,74,42,3
1,2,2,3,14,16,46,40,8
1,1,2,3,12,10,52,48,11
1,1,2,3,10,11,40,12,11
1,1,2,3,19,19,44,30,16
1,1,2,3,12,13,30,24, 
1,2,2,3,9,7,32,14,15
1,1,2,3,16,17,50,32,15
0,1,2,3,8,10,80,40,10
1,1,2,3,4,1,40,32,5
0,1,2,3,5,4,24,12,13
1,2,2,3,12,13,62,44,5
 ,1,2,3,15,14,38,22,5
1,2,2,3,14,15,44,26,12
0,1,2,3,1,2,34,6,5
1,1,2,3,4,3,50,40,18
1,1,2,3,18,19, ,40,20
0,1,2,3,4,5,80,38,13
1,2,2,3,4,3,46,22,14
0,1,2,3,7,6,32,28,19
0,2,2,3,3,4,80,28,14
1,1,2,3,14,15,54,32,18
0,1,2,3,3,4,40, ,19
1,2,2,3,9,9,32,14,18
0,2,2,3,14,12,62,22,9
1,2,2,3,2,3,26,26,2
1,2,2,3,7,9,40,38,10
0,2,2,3,8,6,54,52,15
0,2,2,3,6,4,42,12,19
0,2,2,3,13,10,60,32,8
1,2,2,3,17,17,44, ,19
 ,2,2,3,8,6,80,6,6
1,2,2,3,3,4,18,32,13
0,2,2,3,8,5,36,18,17
0,2,2,3,3,2,80,42,16
1,2,2,3,5,4,40,30,5
1,2,2,3,6,5,48,34,19
1,1,2,3,4,4,50,22,18
1,1,2,3,19,16,48,36,19
1,1,2,3,20,17,18,20,4
0,1,2,3,7,5,20,24,5
1,1,2,3,14,12,62,42,14
0,2,2,3,6,9,32,38,14
1,1,2,3, ,19,54,54,13
1,1,2,3,9,10,38,32,19
1,1,2,3,14,16,66,64,14
0,2,2,3,17,16,44,10,9
 ,2,2,3,15,17,38,22,8
0,2,2,3,12,12,48,10,1
1,1,2,3,20,19,44,18,11
1,1,2,3,2,19,34,36,4
0,1,2,3,15,13,60,52,9
0,2,2,3,12,12,44,42,11
0,1,2,3,4,2,76,4,13
0,1,2,3,5,7,32,24,17
0,1,2,3,8,10,52,30,12
0,2,2,3,7,7,62,32,18
1,1,2,3,20,19,44,14,17
0,1,2,3,17,19,46,48,19
1,2,2,3,8,7,52,32,12
0,2,2,3,7,9,32,28,2
0,2,2,3,10,10,46,40,5
0,1,2,3,7,5,60,36,18
1,1,2,3,15,17,38,22,13
0,1,2,3,3,4,54,14,16
