Group,Gender,Language1,Language2,Language3,Spelling,Grammar
2,0,4,6,8,54,20
3,0,4,8,10,54,52
1,1,14,20,18,54,44
2,1,9,14,14,54,32
2,1,14,19,18,54,54
3,1,10,14,15,54,44
3,1,17,14, ,54,50
1,0,4,6,6,56,30
3,0,5,6, ,56,46
3,1,15,18,12,56,36
2,1,15,11,16,56,46
2,1,12,16,16,56,42
2,0,8,12,12,58,38
3,0,11,12,11,58,52
2,0,13,14,12,58,44
2,0,18,18,19,58,46
1,1,5,12,7,58,30
1,1,4,6,4,58,40
3,1,10,12,8,58,38
3,1,10,16,13,58,48
2,0,1,7,3,60,36
1,0,9,13,15,60,46
3,0,13,15,17,60,52
2,0,1,0,2,60,10
2,0,8,13,12,60,32
3,0,9,15,14,60,44
1,0,3,6,1,60,26
3,1,11,12,12,60,36
3,1,5,10,11,60,50
2,1,11,12,16,60,30
1,0,2,7,8,62,32
1,0,7,10,13,62,48
3,0,10,13,12,62,50
3,0,4,14,11,62,22
3,0,10,14,16,62,44
1,1,1,11,11,62,28
2,1,9,14,15,62,42
2,1,17,12,13,62,44
3,0,5, ,11,64,36
2,0,7,9,3,64,46
2,0,5,10,6,64,44
3,0,20,20,20,66,60
2,0,10,8,15,66,50
1,0,10,12,17,66,42
3,0,2,11,9,66,32
3,0,19,20,17,66,54
1,1,4,20,17,66,42
2,1,10,14,14,66,64
3,1,18,18,15,66,46
3,0,1,6,3,68,74
2,0,12,20,18,68,36
3,0,15,11,17,68,50
3,1,18,20,20,68,54
3,0,16,16,18,70,40
3,0,12,18,19,70,40
1,1,16,16,13,70,44
1,1,15,19,12,70,38
2,0,15, ,20,72,56
1,0, ,12,7,72,56
3,0,9,11,15,74,42
 ,0,4,13,6,74, 
1,0,7,16,14,74,58
3,0,3,6, ,76,2
2,0,1,4,5,76,4
2,0,10,12,14,78,44
1,0, ,8,6,80,40
1,0,3,7,12,80,48
2,0,4,17,11,80,40
2,0,17,16, ,80,76
1,0,2,12,8,80,52
2,0,8,7,13,80,50
2,0,13,16,19,80,52
1,0,2,3,1,80,42
2,0,4,8,15,80,48
3,0,3,4,1,80,38
1,0,11,19,17,80,68
1, ,4,19,10,80,48
1, ,3,8,11,80,6
1,1,12,15,15,80,44
1,0,2,11,2,38,0
2, ,15,15,11,38,22
3,1,16,15,15,38, 
1,0,5,7,11,32,28
2,1,10,9,9,32,14
3,0,1,1,8,34,6
1,0,2,11,2,38,0
2, ,15,15,11,38,22
3,1,16,15,15,38, 
1,0,5,7,11,32,28
2,1,10,9,9,32,14
3,0,1,1,8,34,6
1,0,2,3,1,80,28
2,1,4,8,15,80, 
3,0,3,4,1,80, 
1,1,11,19,17,80, 
