id;geslacht;item1;item2;item3;item4;item5;item6;item7;item8;item9;item10;item11;item12
63;1;2;2;2;3;3;2;3;1;4;2;2;2
64;1;4;3;4;2;3;2;2;3;5;3;3;5
65;2;1;1;3;1;1;2;2;3;3;1;4;1
66;1;1;2;2;1;3;3;2;4;1;2;3;2
67;1;3;1;3;2;2;4;4;3;4;2;4;2
68;1;1;3;3;2;4;3;3;1;3;2;2;2
69;1;5;4;4;4;3;2;4;2;3;4;4;4
70;2;5;2;4;4;4;4;3;3;2;2;3;5
71;1;2;3;3;2;3;2;2;3;3;4;3;3
72;2;5;4;2;5;4;3;5;3;4;5;4;5
73;1;3;4;2;3;2;2;2;4;3;4;4;3
74;2;3;4;2;2;4;3;2;4;2;4;4;2
75;1;2;2;3;4;2;4;1;2;3;1;2;1
76;2;3;4;3;4;4;1;4;3;2;4;4;2
77;2;4;4;4;4;2;2;4;2;4;3;4;3
78;1;1;1;1;2;1;1;2;2;3;2;2;2
79;2;2;3;4;3;1;2;3;3;2;2;2;3
80;2;2;4;2;3;3;3;4;4;3;2;3;4
81;2;1;2;3;1;3;2;4;3;3;2;2;4
82;2;4;3;5;2;4;2;2;4;3;3;2;3
83;2;2;2;1;1;1;3;2;4;4;3;3;2
84;2;3;2;4;3;4;4;3;1;4;1;3;2
85;2;5;5;3;3;5;4;2;5;5;4;4;4
86;2;5;4;4;2;4;4;2;5;5;5;5;4
87;1;2;1;4;1;1;3;1;4;3;2;3;2
88;2;5;5;2;2;5;5;4;3;5;3;3;3
89;2;4;3;3;3;3;4;5;3;4;4;5;2
90;2;4;4;5;2;4;2;2;3;4;2;4;4
91;1;5;4;4;4;5;4;4;5;4;4;4;4
92;2;2;3;4;3;1;2;4;2;4;3;1;1
93;1;5;3;4;5;5;3;2;2;3;3;4;3
94;2;4;3;4;5;3;4;3;2;5;2;3;5
95;2;4;2;3;2;2;5;4;2;2;3;4;2
96;2;5;4;2;5;3;3;3;3;2;4;3;5
97;2;2;3;3;3;1;2;3;4;4;3;1;3
98;1;1;1;2;2;1;1;3;4;2;1;2;3
99;2;4;4;4;4;4;2;4;5;5;3;3;5
100;1;3;4;1;4;3;4;4;3;2;4;3;3
101;1;3;4;4;3;1;1;3;3;2;4;3;3
102;1;4;3;4;5;3;2;2;3;2;5;3;5
103;2;3;2;1;2;4;2;3;4;4;2;3;4
104;2;4;3;2;3;3;2;5;4;3;2;4;5
105;2;2;3;4;3;3;4;1;2;1;4;2;4
106;1;1;3;4;2;2;3;2;2;3;1;3;1
107;1;3;1;4;4;4;4;4;4;2;2;4;3
108;2;5;5;5;4;4;4;3;5;3;4;5;4
109;2;1;1;3;2;4;1;2;1;2;3;3;4
110;2;4;4;3;3;2;4;2;3;4;2;4;3
111;1;3;4;3;1;3;3;4;4;4;2;1;2
112;2;1;3;2;3;1;3;4;3;1;2;2;4
113;1;2;3;3;4;3;3;2;1;1;3;1;4
114;1;2;1;4;3;2;3;3;2;1;1;2;3
115;1;1;1;2;4;3;3;2;2;4;1;1;1
116;1;4;2;3;4;2;4;3;4;3;2;2;2
117;1;2;3;2;2;4;4;2;2;1;1;3;4
118;1;3;4;2;3;4;3;2;2;3;4;2;2
119;1;1;3;3;3;1;3;3;1;2;2;3;3
120;2;5;5;3;3;5;5;3;4;5;4;2;5
121;1;1;3;2;3;1;1;1;2;3;4;3;4
122;1;2;3;3;3;4;3;3;2;4;2;1;2
123;1;5;3;3;3;2;4;5;3;4;5;3;3
124;2;3;2;4;3;2;4;2;4;2;3;3;4
125;2;2;3;2;1;1;3;4;2;3;1;3;1
126;2;3;1;2;4;2;2;2;3;4;2;3;3
127;1;5;4;5;4;4;5;4;4;3;5;3;4
128;1;2;4;3;4;2;1;3;3;3;4;1;2
129;1;2;4;2;3;2;2;3;3;2;2;4;1
130;2;2;4;3;3;3;2;3;2;1;2;4;3
131;2;2;3;1;3;3;4;1;2;3;4;4;1
132;2;2;1;2;1;3;2;1;2;2;2;1;2
133;1;3;1;3;2;3;2;3;2;3;3;1;4
134;1;3;3;3;4;2;4;2;3;2;1;3;1
135;1;5;3;2;3;2;5;4;5;5;5;4;2
136;2;5;5;4;3;4;4;3;4;2;2;5;4
137;2;5;4;2;2;4;3;5;4;3;3;2;4
138;1;5;4;3;5;4;3;3;3;2;5;2;2
139;1;4;2;2;3;3;5;2;2;3;3;3;3
140;2;2;3;3;1;3;3;3;3;1;1;1;1
141;1;1;1;2;3;4;2;3;3;2;4;2;2
142;2;5;2;3;4;5;4;4;4;5;5;4;5
143;1;4;5;4;4;5;3;3;3;2;2;2;2
144;2;2;3;3;4;1;1;2;2;2;3;3;4
145;1;4;3;5;4;3;4;2;2;2;4;2;3
146;2;4;2;3;2;3;4;2;5;3;2;2;3
147;1;1;2;1;3;3;1;2;3;4;2;1;3
148;2;2;2;4;2;2;3;1;1;2;1;1;3
149;2;2;3;3;2;2;4;2;2;2;3;4;3
150;2;1;2;1;2;1;3;1;1;3;2;2;3
151;2;1;2;1;1;1;3;3;2;3;4;3;2
152;1;2;3;2;3;3;2;1;2;2;1;2;1
153;2;2;2;3;4;2;4;3;3;2;4;3;3
154;1;3;3;2;3;4;3;4;2;1;2;2;4
155;2;4;4;4;4;2;4;2;2;3;4;3;2
156;2;5;5;5;3;3;2;3;4;2;2;3;2
157;1;3;3;4;3;3;1;4;1;3;3;2;2
158;2;1;4;2;4;1;3;3;2;2;4;2;1
159;2;5;2;5;4;5;3;5;5;5;5;3;3
160;2;4;4;4;3;2;3;2;2;3;4;4;5
161;2;3;4;4;4;4;2;3;1;3;4;4;1
162;1;1;3;4;3;1;3;2;2;2;1;1;1
163;1;3;2;1;2;4;2;3;2;4;3;3;1
164;2;2;4;3;1;1;3;4;3;2;4;4;1
165;2;2;3;1;2;4;1;3;4;2;4;1;2
166;1;1;2;4;3;2;2;4;1;2;2;3;1
167;1;4;3;2;2;4;4;2;5;3;3;4;2
168;2;5;4;2;3;4;3;3;5;4;3;4;4
169;1;2;3;2;3;1;4;1;2;2;3;2;3
170;1;3;2;3;2;2;2;3;4;4;2;4;3
171;2;5;3;3;5;5;2;5;2;4;4;4;4
172;1;2;2;1;3;3;2;2;4;4;2;2;1
173;2;2;4;2;2;3;3;3;2;3;4;3;3
174;1;3;4;3;3;3;3;3;4;4;2;2;2
175;1;3;4;2;3;3;3;4;3;2;3;2;4
176;2;5;5;4;5;2;4;3;4;2;3;5;3
177;2;5;2;5;2;4;4;5;3;4;3;2;3
178;2;3;4;3;3;4;4;4;4;2;4;3;4
179;2;2;3;1;4;2;3;1;4;3;1;1;2
180;2;5;5;5;4;4;5;3;5;5;4;2;5
181;1;3;2;2;2;2;2;4;2;3;3;3;4
182;1;1;1;1;2;1;3;3;3;1;3;1;3
183;1;2;3;3;2;4;3;4;2;4;2;2;2
184;1;1;4;3;4;3;2;2;3;3;2;2;2
185;1;2;4;1;1;3;4;3;1;3;2;1;1
186;2;1;2;2;1;1;4;1;1;3;3;3;1
187;2;2;1;4;3;2;2;4;3;3;1;1;2
188;1;3;4;4;3;2;2;4;4;1;3;4;2
189;1;5;3;4;2;4;4;3;4;2;4;5;5
190;1;5;5;3;3;5;3;5;5;3;5;4;3
191;1;2;2;4;2;3;3;2;2;3;1;3;2
192;1;2;1;4;2;4;2;3;2;3;2;3;3
193;2;3;3;4;2;4;4;4;3;4;3;2;2
194;1;1;2;1;3;1;3;1;4;3;2;2;3
195;1;2;1;1;3;3;3;1;2;2;2;2;3
196;2;5;5;4;2;3;5;4;5;4;5;4;4
197;1;3;3;1;3;3;4;3;2;4;4;1;3
198;1;5;4;5;2;5;4;5;5;5;2;4;4
199;2;5;3;4;4;5;5;5;3;4;3;3;5
200;2;1;2;1;4;2;4;1;3;1;1;3;1
201;2;1;3;1;2;2;3;1;1;4;3;4;3
202;2;5;3;4;4;3;3;2;5;4;3;5;2
203;2;3;2;2;2;3;3;3;4;1;3;1;3
204;2;5;3;3;4;3;3;2;4;2;3;3;3
205;2;2;2;1;1;3;3;4;3;4;3;3;1
206;1;3;4;4;4;3;3;4;2;2;4;2;3
207;1;2;3;4;4;2;4;2;1;4;4;2;3
208;2;3;3;3;4;2;3;2;4;2;1;2;2
209;1;3;2;4;2;2;4;4;4;4;1;4;1
210;2;2;3;3;4;1;1;4;3;2;4;1;1
211;1;3;3;3;3;2;3;2;4;4;4;2;4
212;2;4;2;3;2;5;2;5;3;3;5;3;5
213;1;2;3;3;4;4;2;4;1;3;3;3;1
214;2;5;2;3;3;4;4;2;4;2;5;2;5
215;1;1;2;1;2;1;4;1;1;1;2;2;1
216;1;2;3;3;3;2;2;4;4;1;1;2;2
217;2;5;5;3;4;5;2;3;3;2;2;3;3
218;2;1;1;4;2;4;3;3;1;3;1;2;2
219;1;3;2;2;2;3;2;1;2;2;2;4;2
220;1;1;2;3;3;1;1;1;1;2;2;1;1
221;2;3;3;1;2;2;2;4;1;4;4;2;2
222;1;2;3;3;3;4;2;3;2;2;2;2;1
223;1;2;3;1;3;2;3;1;3;3;4;4;4
224;2;4;2;3;3;5;3;3;2;4;2;2;3
225;1;4;3;3;4;5;5;3;5;3;3;3;2
226;2;2;3;3;3;2;3;1;2;2;3;4;1
227;1;4;3;2;3;2;5;4;3;4;2;2;2
228;2;5;2;4;2;5;2;4;3;4;5;5;2
229;2;3;2;3;4;2;3;3;4;2;1;4;1
230;1;5;2;5;4;5;4;4;4;2;4;4;3
231;1;5;3;3;2;2;3;4;3;2;2;3;3
232;2;2;1;3;2;2;4;1;4;2;2;4;1
233;2;4;4;3;4;3;5;4;4;2;3;4;4
234;1;4;4;3;4;5;3;3;4;2;4;2;5
235;1;4;3;5;5;3;3;3;5;5;3;4;5
236;1;5;4;4;2;4;3;3;4;3;4;4;2
237;2;2;3;3;2;1;2;3;2;4;1;1;2
238;2;3;4;3;2;4;2;2;3;2;4;4;3
239;1;4;4;3;3;4;2;4;3;5;4;4;4
240;1;2;4;1;3;3;2;3;3;1;3;2;2
241;2;4;2;4;2;5;3;5;5;5;2;4;4
242;2;4;2;2;3;4;4;3;3;5;3;2;4
243;1;5;2;5;5;4;4;3;3;4;5;4;2
244;1;1;3;3;3;3;3;2;1;1;4;1;2
245;2;2;3;1;3;2;2;3;2;2;2;1;2
246;1;2;4;2;3;2;1;3;3;3;2;1;1
247;1;1;2;4;1;2;3;2;4;3;2;1;4
248;2;2;3;2;2;3;4;1;2;1;1;1;2
249;2;2;1;3;1;3;3;4;4;3;1;3;1
250;2;3;3;4;3;3;4;2;3;4;3;4;3
251;1;1;1;3;1;2;1;2;1;3;1;3;2
252;2;3;3;1;4;3;2;4;2;2;2;4;2
253;1;4;2;2;4;3;2;2;2;5;2;3;2
254;1;1;1;3;2;4;1;1;3;2;3;2;2
255;1;1;4;2;1;4;3;3;1;3;2;2;3
256;2;2;3;4;4;3;4;4;4;2;4;2;2
257;2;4;3;3;4;5;3;4;4;3;4;5;3
258;1;3;3;4;2;1;3;2;1;2;3;1;4
259;1;1;3;2;3;3;2;1;3;1;1;1;3
260;1;3;3;2;4;2;3;2;2;2;2;3;3
261;1;1;1;2;2;3;1;3;2;2;3;1;2
262;2;3;1;3;3;3;3;4;4;2;4;2;2
263;2;4;4;3;3;2;2;2;3;3;5;2;3
264;2;4;2;5;5;3;5;4;4;3;4;5;2
265;2;1;3;3;3;2;1;2;3;2;3;2;1
266;1;3;3;3;4;3;1;3;3;1;2;2;1
267;1;5;5;2;2;5;5;4;2;3;4;3;4
268;1;2;3;4;2;2;2;1;4;3;2;1;2
269;2;4;3;4;3;2;4;2;3;4;3;3;3
270;1;1;4;2;1;3;2;3;2;2;3;2;1
271;2;1;2;2;3;2;2;2;2;1;3;4;2
272;1;1;1;3;3;2;1;3;1;2;2;3;2
273;1;3;4;4;2;3;3;2;3;3;4;1;2
274;2;1;3;1;3;3;1;1;2;3;3;2;3
275;2;1;1;2;1;1;2;4;2;3;1;3;2
276;1;2;4;4;3;1;1;1;3;3;3;2;4
277;2;5;2;4;4;3;3;2;3;2;4;2;5
278;1;1;2;4;3;1;3;3;3;4;1;2;3
279;2;2;3;1;2;1;1;3;3;1;3;4;1
280;1;2;3;3;2;3;1;4;1;2;1;3;1
281;1;4;3;3;2;4;2;3;3;2;4;5;4
282;1;3;1;3;1;3;2;2;3;2;1;3;4
283;2;3;3;4;2;4;2;4;2;2;2;3;1
284;2;2;2;3;2;2;4;2;2;1;1;1;3
285;2;4;2;4;2;2;2;3;4;2;4;4;4
286;2;1;3;1;1;4;3;4;4;3;1;1;3
287;2;4;3;3;5;2;4;2;4;3;3;3;4
288;2;4;4;4;5;3;2;2;2;4;4;4;2
289;2;3;2;4;3;3;3;4;4;3;2;2;2
290;2;4;2;5;3;2;2;2;4;3;2;5;2
291;1;2;1;3;3;4;3;4;2;2;2;2;4
292;1;3;2;4;2;2;4;3;3;3;2;3;2
293;1;4;4;5;4;4;3;4;3;4;4;4;4
294;2;2;1;1;3;4;3;4;1;4;1;2;3
295;1;3;2;3;4;3;3;3;4;2;3;2;3
296;2;1;2;3;2;2;1;1;1;1;3;2;3
297;2;5;2;4;5;3;4;2;5;4;2;4;2
298;2;1;4;1;4;2;3;2;1;2;1;2;2
299;2;2;3;2;4;4;3;4;4;3;2;1;4
300;1;2;4;3;2;3;1;3;3;2;4;1;1
301;1;3;3;4;2;3;3;3;3;1;2;4;4
302;2;5;3;5;3;3;2;3;2;5;4;3;4
303;1;2;3;2;1;2;4;1;2;2;2;4;2
304;1;4;2;3;3;5;4;5;2;4;2;3;2
305;1;4;2;5;3;3;3;2;3;2;2;3;4
306;2;2;3;4;3;2;2;1;3;4;2;2;3
307;2;5;4;3;3;2;3;4;3;3;3;3;2
308;2;5;5;4;5;5;3;3;4;4;4;2;4
309;2;3;4;1;1;3;3;2;2;3;2;4;1
310;2;3;1;4;4;2;3;4;3;3;4;2;4
311;1;2;1;1;3;3;4;2;3;3;4;4;3
312;1;5;3;5;5;3;4;2;2;2;3;3;2
313;2;5;4;5;5;5;4;4;4;2;4;5;5
314;1;1;1;2;1;3;3;3;1;1;3;3;2
315;2;3;2;4;2;3;3;2;4;2;3;3;1
316;2;3;3;4;2;3;1;2;4;4;3;3;4
317;2;2;2;2;4;3;2;2;3;1;3;3;1
318;1;1;3;4;1;2;4;2;3;1;2;1;3
319;2;3;4;2;1;2;3;3;4;4;2;4;4
320;2;3;2;2;3;4;4;3;2;3;3;3;2
321;1;5;4;3;4;5;2;2;4;3;3;3;3
322;1;3;4;2;3;3;3;2;1;2;4;3;2
323;2;2;2;2;2;3;3;3;4;4;4;4;1
324;1;5;4;3;4;3;5;2;3;3;5;5;2
325;2;2;4;3;4;3;3;1;3;1;3;3;1
326;1;5;4;3;4;2;3;3;5;3;2;5;4
327;1;1;1;3;3;3;2;1;2;1;1;2;3
328;2;2;2;2;3;1;2;4;4;4;2;3;3
329;2;4;3;5;3;2;3;3;3;4;2;3;4
330;2;4;2;3;2;4;3;2;3;4;2;3;4
331;1;4;3;2;2;5;3;4;3;4;3;2;3
332;1;4;4;5;3;4;3;3;2;3;4;3;3
333;1;2;3;4;4;1;2;2;2;3;4;3;3
334;1;5;4;5;3;3;5;5;3;2;3;4;4
335;1;5;2;3;4;5;5;3;3;3;3;4;3
336;1;4;4;2;3;4;2;4;2;4;3;3;4
337;2;2;3;3;3;2;1;3;2;3;1;4;3
338;2;4;4;2;4;2;3;4;4;3;3;2;2
339;1;2;3;3;4;3;3;4;3;3;2;4;4
340;2;3;2;2;4;2;3;1;2;4;2;4;3
341;1;4;4;3;3;2;2;4;5;3;2;3;3
342;2;1;4;1;3;3;4;2;4;3;4;2;2
343;1;4;2;4;2;3;2;3;2;5;2;3;5
344;1;3;3;4;4;3;3;3;2;1;4;3;1
345;1;3;3;4;4;3;4;3;4;3;4;4;2
346;1;3;2;4;4;2;4;2;4;4;2;2;3
347;2;5;4;5;4;2;3;3;3;5;3;2;4
348;1;1;3;3;1;1;3;3;3;1;2;2;2
349;1;1;1;3;1;3;2;1;1;2;1;1;3
350;1;2;1;1;3;4;2;3;4;3;1;2;1
351;2;3;3;1;4;4;2;3;2;1;3;3;4
352;1;1;3;2;3;4;3;1;4;3;2;4;2
353;2;3;2;4;4;2;3;2;1;3;2;3;3
354;2;5;4;3;2;3;4;3;3;3;3;4;3
355;2;3;3;2;2;1;3;3;2;2;4;3;2
356;2;4;4;3;4;4;3;2;3;4;2;5;4
357;1;2;4;3;3;2;4;2;4;4;2;2;2
358;1;1;1;3;1;3;1;3;1;1;4;1;4
359;1;5;3;2;3;5;3;4;3;3;2;4;2
360;2;1;2;3;3;3;4;1;2;3;1;3;2
361;1;1;2;2;3;3;4;2;3;2;1;3;2
362;2;1;3;1;1;3;1;1;2;2;3;1;3
363;1;1;2;1;2;4;3;3;1;1;3;3;2
364;1;3;4;4;4;3;3;4;4;2;4;1;3
365;1;5;5;5;3;2;3;4;4;5;3;5;3
366;1;5;2;5;2;5;4;5;4;4;4;4;4
367;1;1;3;1;1;4;1;3;2;3;2;1;3
368;1;5;4;4;3;3;2;3;2;2;2;2;4
369;2;4;5;2;3;5;5;3;3;5;4;2;3
370;2;5;5;3;4;4;4;3;4;3;3;3;5
371;2;4;2;4;3;3;4;4;3;3;3;2;4
372;1;2;2;1;1;2;2;3;2;3;3;3;3
373;1;1;1;1;2;2;2;1;4;1;2;1;1
374;1;1;1;3;2;2;3;2;3;3;2;1;3
375;2;5;3;3;3;4;2;5;4;4;2;2;4
376;2;4;5;2;2;5;4;4;3;4;2;2;3
377;1;2;3;4;4;2;1;2;3;2;4;2;2
378;2;2;4;3;2;4;1;4;4;1;3;1;2
379;2;4;3;3;3;3;5;2;4;2;2;4;2
380;1;4;4;5;4;2;2;4;5;2;2;3;2
381;2;2;2;3;3;3;1;3;4;3;2;4;1
382;1;1;2;3;4;1;2;1;4;3;3;3;1
383;2;4;2;3;2;4;3;4;5;3;4;2;4
384;2;3;2;4;4;2;4;3;3;2;2;3;3
385;2;4;5;4;3;3;3;4;2;4;4;3;3
386;1;1;3;1;3;2;1;3;2;3;1;2;1
387;2;5;5;5;2;3;4;5;5;3;3;3;4
388;2;4;3;2;4;4;4;2;2;2;3;3;2
389;2;3;2;4;2;3;2;4;1;2;2;2;3
390;1;1;1;1;1;3;3;1;4;1;3;1;1
391;2;4;3;5;2;3;3;3;4;2;5;4;2
392;1;1;2;1;1;3;3;1;2;3;3;1;3
393;1;1;3;1;1;3;2;2;3;3;1;2;3
394;2;2;3;4;1;1;2;3;1;2;2;3;2
395;1;5;3;3;5;3;3;4;2;5;2;3;3
396;2;1;3;1;1;3;2;3;3;1;2;1;2
397;1;4;3;2;3;2;3;3;3;5;3;3;2
398;1;3;4;2;1;3;4;3;2;2;2;2;1
399;1;5;2;3;4;2;2;3;4;4;3;2;2
400;2;5;4;2;3;3;5;4;4;3;3;5;3
401;2;2;4;1;3;2;1;1;4;1;2;3;4
402;2;1;3;2;2;1;1;3;1;4;2;1;1
403;1;3;3;3;3;3;3;4;4;3;2;2;3
404;1;2;3;3;3;3;3;4;3;3;1;2;4
405;1;2;3;3;1;1;1;4;3;4;4;2;3
406;2;5;4;2;3;2;4;2;5;3;2;5;4
407;2;5;2;2;4;5;4;5;4;3;3;3;5
408;2;2;2;2;3;2;1;4;2;2;2;3;2
409;2;5;3;3;4;4;3;4;5;4;3;4;3
410;2;5;2;5;5;3;3;2;4;4;4;3;2
411;1;1;4;1;2;3;1;3;3;3;2;1;1
412;2;3;4;2;4;4;4;3;4;4;3;2;1
413;2;4;4;3;4;2;3;3;3;4;4;3;2
414;2;3;2;3;4;2;2;4;3;4;2;1;2
415;1;2;3;4;1;3;4;2;4;4;2;2;4
416;1;3;3;2;4;1;4;2;1;3;1;3;4
417;2;3;3;4;3;3;4;3;4;4;3;2;4
418;2;3;2;2;3;4;3;4;4;2;4;4;2
419;2;2;3;1;2;2;1;2;3;3;3;2;2
420;1;2;2;2;4;3;2;3;4;1;2;2;2
421;2;5;3;4;2;2;3;2;4;4;4;2;2
422;2;5;3;3;5;5;3;2;3;2;3;3;3
423;2;1;2;1;1;4;4;2;3;3;2;1;4
424;1;1;4;1;1;3;3;1;4;1;3;3;3
425;1;1;1;1;1;3;2;1;1;3;2;2;3
426;2;1;1;3;3;1;2;1;4;2;2;3;2
427;2;2;2;2;2;2;1;2;2;4;4;4;3
428;2;3;2;4;4;3;2;1;2;4;4;1;3
429;1;4;5;5;3;3;3;2;5;5;2;2;2
430;1;3;4;4;3;2;1;3;2;2;2;3;2
431;2;4;3;4;3;3;2;4;2;3;2;5;3
432;2;4;4;4;2;2;4;3;2;5;3;3;4
433;2;5;4;4;3;4;3;4;4;4;3;2;3
434;2;5;4;3;3;4;2;3;4;4;2;4;3
435;2;2;3;4;1;2;2;2;3;3;4;1;1
436;1;3;3;3;4;3;4;2;1;2;4;2;4
437;1;2;3;4;2;1;1;4;3;1;3;2;4
438;2;3;2;3;3;1;2;3;3;3;2;4;4
439;1;4;2;2;4;3;3;2;3;4;3;5;3
440;2;3;4;2;4;1;4;3;3;3;3;3;3
441;2;3;3;2;2;1;1;2;3;2;3;4;1
442;1;2;1;3;3;2;1;4;4;2;3;1;4
443;1;1;4;4;2;1;3;2;4;2;1;1;3
444;2;3;3;4;2;3;3;1;2;4;2;4;3
445;2;5;4;2;2;3;5;4;2;3;2;3;4
446;2;3;1;3;4;4;2;2;4;1;4;2;3
447;2;3;1;4;4;4;1;1;4;2;4;4;2
448;1;1;3;2;2;3;3;3;1;3;3;1;3
449;1;3;1;1;4;4;2;4;2;4;3;2;2
450;2;3;2;2;3;2;2;1;2;4;2;3;4
451;2;5;4;5;5;2;5;3;4;2;3;4;2
452;1;2;3;4;3;3;3;1;1;4;2;4;2
453;2;4;2;2;3;4;4;3;2;4;3;4;2
454;1;5;3;5;5;4;4;4;3;5;2;3;4
455;1;1;2;1;3;1;3;3;1;3;3;1;1
456;2;3;2;3;4;2;4;3;3;4;3;4;4
457;1;3;2;3;3;2;3;4;4;2;2;4;3
458;2;1;2;2;3;3;2;2;4;2;3;2;3
459;2;5;5;3;3;4;4;3;2;4;3;3;3
460;1;4;4;2;3;4;4;2;2;5;4;3;4
461;2;2;3;2;3;3;1;3;3;1;2;2;3
462;1;3;2;4;1;3;2;4;3;4;3;2;2
463;2;2;3;2;3;4;4;4;1;3;2;2;1
464;2;3;4;2;1;4;4;1;4;2;1;1;3
465;1;3;3;2;2;4;3;4;1;2;3;3;1
466;2;2;3;2;2;3;4;4;1;3;1;2;3
467;1;4;3;3;3;3;3;2;4;3;3;4;3
468;1;1;2;3;3;3;3;3;3;4;1;3;1
469;2;1;2;1;4;3;2;3;1;2;4;1;2
470;2;3;1;4;1;3;4;2;1;4;2;4;3
471;1;2;3;3;4;1;4;2;2;3;1;2;3
472;1;1;2;1;1;1;1;1;2;1;2;4;1
473;2;2;2;4;4;1;1;4;1;2;2;2;3
474;1;2;2;2;2;1;3;3;4;1;3;4;3
475;2;3;2;2;2;2;4;3;4;3;2;4;4
476;2;1;3;1;1;3;2;2;3;1;3;3;1
477;1;3;2;1;2;3;2;4;2;2;2;1;2
478;2;5;4;3;5;5;4;5;3;4;4;4;4
479;2;5;3;4;3;4;4;3;4;4;3;4;3
480;1;1;3;4;3;2;1;1;3;2;3;3;3
481;2;3;2;1;1;2;2;1;3;4;4;3;2
482;1;4;4;4;4;2;3;3;3;5;3;4;3
483;1;1;3;3;1;2;4;3;2;3;3;2;3
484;2;5;4;4;5;5;5;4;5;2;2;2;4
485;1;5;4;4;3;3;4;4;5;2;3;3;2
486;2;2;3;3;2;1;4;4;2;4;3;3;3
487;1;2;2;3;3;4;2;2;4;1;1;1;3
488;2;3;4;3;4;3;4;3;4;4;4;3;2
489;1;3;4;1;2;1;2;2;1;2;4;2;3
490;1;1;2;1;3;4;1;2;1;3;3;1;3
491;1;5;3;3;3;4;2;4;3;5;4;3;3
492;1;5;2;3;2;2;4;5;3;5;5;5;5
493;2;2;3;2;3;4;4;1;3;4;2;4;2
494;1;3;4;4;3;3;3;2;3;3;2;3;3
495;2;1;2;3;1;1;2;2;3;3;1;3;1
496;2;2;1;4;4;1;4;3;4;3;1;2;1
