Gender,FirstLanguage,Groiu,Category,Letters,Animals,Shapes,Words,Colour
0,1,2,2,17,46,48,19,19
1,2,2,2,4,30,14,18,5
0,2,2,2,3,80,28,14,4
1,1,2,2,9,38,32,19,10
1,2,2,2,9,46,24,5,10
1,2,2,2,15,80,44,17,14
1,1,2,2,19,48,36,19,16
1,2,2,2,14,36,40,7,16
1,2,2,2,5,40,30,5,4
1,1,2,2,18, ,40,20,19
1,2,2,2,19,44,56,11,19
1,1,2,2,11,34,26,6,13
0,1,2,2,5,32,24,17,7
1,1,2,2,12,60,30,12,13
1,2,2,2,6,48,34,19,5
0,1,2,2,4,76,4,13,2
1,2,2,2,14,46,40,8,16
1,1,2,2,4,50,40,18,3
0,1,2,2,3,54,14,16,4
0,1,2,3,15,60,52,9,13
0,2,2,3,13,62,50,2,10
1,2,2,3,7,40,38,10,9
1,2,2,3,9,32,14,15,7
0,1,2,3,4,80,38,13,5
1,2,2,3,17,44, ,19,17
0,1,2,3,3,18,26,17,2
0,2,2,3,10,28, ,19,11
1,1,2,3,15,38,22,13,17
0,1,2,3,5,24,12,13,4
1,1,2,3,18,26,22,8,19
0,1,2,3,11,74,42,3,10
1,2,2,3,3,18,32,13,4
0,1,2,3,1,34,6,5,2
0,1,2,3,8,52,30,12,10
0,2,2,3,13,60,32,8,10
1,2,2,3,17,34,14,6,15
1,1,2,3,16,26,10,12,18
0,1,2,3,10,64,44,16,12
1,1,2,3,3,18,36,13,3
0,2,2,3,3,38,36,16,5
0,1,2,3,1,34,6,13,2
0,1,2,3,7,32,28,12,6
0,1,2,3,16,80,76,13,16
1,2,2,3,5,46,18, ,6
 ,2,2,3,15,38,22,8,17
0,1,2,3,16,74,58,12,15
0,2,2,3,7,62,32,18,7
1,2,2,3,14,52,44,17,11
1,2,2,3,16,56,42,6,14
1,1,2,3, ,54,54,13,19
0,2,2,3,14,58,44,19,12
0,2,2,3,12,44,42,11,12
0,1,2,3,8,80,48,15,6
 ,1,2,3,15,38,22,5,14
0,1,2,3,3,54,14,11,5
0,1,2,3, ,60,10,13,19
1,1,2,3,11,56,46,8,14
0,1,2,3,7,60,36,18,5
0,1,2,3,7,32,28,19,6
0,1,2,3,17,80,40,10,19
0,1,2,3,9,64,46,8,10
0,2,2,3,14,62,22,9,12
0,2,2,3,7,32,28,2,9
0,2,2,3,10,46,40,5,10
1,2,2,3,12,62,44,5,13
1,2,2,3,14,44,26,12,15
1,2,2,3,16,52,40,19,18
0,1,2,3,3,40, ,19,4
1,1,2,3,16,50,32,15,17
1,1,2,3,14,54,32,18,15
1,1,2,3,14,62,42,14,12
0,1,2,3,8,80,40,10,10
0,2,2,3,6,32,38,14,9
1,2,2,3,13,36,36,13,16
1,1,2,3,4,40,32,5,1
1,1,2,3,2,34,36,4,19
1,1,2,3,14,66,64,14,16
1,1,2,3,12,30,24, ,13
1,1,2,3,4,50,22,18,4
0,2,2,3,1,34,6,19,1
0,2,2,3,12,80,52, ,10
1,2,2,3,2,26,26,2,3
1,2,2,3,4,46,22,14,3
0,2,2,3,10,42,28,3,9
0,2,2,3,3,80,42,16,2
1,1,2,3,12,40,36,1,11
0,1,2,3,20,68,36,9,17
