"","folder","name","question","Item Type","Section","Type","Program","Language","Level","ID","SectionShort","date"
"11","Assumptions/eur-assumptions-106-en","eur-assumptions-106-en","*Social skills and Problem Based Learning (PBL)*
A researcher from Erasmus University Rotterdam is investigating the possible advantages of PBL on students’ social competencies and has gathered social competency scores about students on four occasions. These scores come from observations by the researcher 2 days after their first PBL group (T1_social), six months after their first PBL tutor group (T2­_social), a year after their first PBL tutor group (T3_social) and a year and a half after their first PBL tutor group (T4_social). At these four occasions, social competence was measured using a semi-structured interview with scores varying from 0 (not social) to 40 (very social). Additionally, the researcher determines whether a student is shy or not [SHY]. 
Open the data file.
Test whether the mean level of social compentency differs between the four points in time. What is the value of Greenhouse-Geisser Epsilon for this model? (3 decimals)
**Download**: [SPSS file](eur-assumptions-106-en-data.sav), [CSV file](eur-assumptions-106-en-data.csv)
","num","Assumptions/Sphericity/Epsilon","Performing analysis","SPSS","English","Statistical Literacy","304ab","Assumptions/Epsilon","2026-01-12"
"12","Assumptions/eur-assumptions-106-nl","eur-assumptions-106-nl","*Sociale vaardigheden en Probleem Gestuurd Onderwijs (PGO)*
Er is in het onderwijs veel aandacht voor de voordelen van PGO. Een onderzoeker aan de Erasmus Universiteit heeft op 4 meetmomenten informatie verzameld over de sociale vaardigheden van studenten. De studenten werden tijdens onderwijsgroepen geobserveerd en beoordeeld op sociale vaardigheid 1) 2 dagen na hun eerste PGO les [T1_social] ; 2) een half jaar na hun eerste PGO les [T2_social]; 3) een jaar na hun eerste PGO les [T3_social]; en 4) anderhalf jaar na hun eerste PGO les [T4_social]. Het sociale gedrag werd gescoord middels een semi-gestructureerd interview waarbij de scores kunnen variëren van 0 (niet sociaal) tot 40 (uiterst sociaal). Verder registreert de behandelaar of de patiënten last hebben van verlegenheid of niet [verlegen].
Open het databestand.
Toets of het gemiddelde niveau van sociale vaardigheden verschilt tussen de vier tijdstippen. Wat is de waarde van Greenhouse-Geisser Epsilon voor bovenstaand model? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-106-nl-data.sav), [CSV file](eur-assumptions-106-nl-data.csv)
","num","Assumptions/Sphericity/Epsilon","Performing analysis","SPSS","Dutch","Statistical Literacy","2490c","Assumptions/Epsilon","2026-01-12"
"13","Assumptions/eur-assumptions-201-en","eur-assumptions-201-en","In a one-way repeated measures ANOVA, a researcher needs to test, amongst other assumptions, the sphericity assumption. Consider the following statements about the sphericity assumption and answer the subsequent question. 
1. This assumption does not apply when the within-subjects factor only has two levels. 
2. When this assumption is severely violated, a researcher can use a repeated-measures multivariate test (MANOVA) as an alternative to the uncorrected F-test. 
Which statement is true?
Answerlist
----------
* both statements are true
* only statement 1 is true
* only statement 2 is true
* both statements are false
","schoice","Assumptions/Sphericity/Mauchly's test, Inferential Statistics/Parametric Techniques/ANOVA/Oneway repeated measures ANOVA","Conceptual",NA,"English","Statistical Literacy","1c73c","Assumptions/Mauchly's test","2026-01-12"
"14","Assumptions/eur-assumptions-201-nl","eur-assumptions-201-nl","In een eenzijdige ANOVA met herhaalde maatregelen moet een onderzoeker onder andere de assumptie van sfericiteit testen. Overweeg de volgende stellingen over de sfericiteitsaanname en beantwoord de daaropvolgende vraag.
1. Deze assumptie is niet van toepassing als de within-subjects factor slechts twee niveaus heeft.
2. Als deze assumptie ernstig geschonden wordt, kan een onderzoeker een multivariate test met herhaalde metingen (MANOVA) gebruiken als alternatief voor de ongecorrigeerde F-test. multivariate test (MANOVA) gebruiken als alternatief voor de ongecorrigeerde F-test.
Welke Stelling is waar?
Answerlist
----------
* Beide stellingen zijn waar
* Alleen stelling 1 is waar
* Alleen stelling 2 is waar
* Beide stellingen zijn onwaar
","schoice","Assumptions/Sphericity/Mauchly's test, Inferential Statistics/Parametric Techniques/ANOVA/Oneway repeated measures ANOVA","Conceptual",NA,"Dutch","Statistical Literacy","052af","Assumptions/Mauchly's test","2026-01-12"
"15","Assumptions/uu-assumptions-002-en","uu-assumptions-002-en","Which of the following conditions must be met for a single regression analysis in which you predict the score on Y from the score on X?
Answerlist
----------
* The relationship between X and Y must be linear.
* The variable $Y$ must have been measured at least at the interval level.
* The residuals $\hat{Y}$ should be approximately normally distributed.
* All three conditions must be met.
","schoice","Assumptions","Conceptual",NA,"English","Statistical Literacy","2673d","Assumptions/Assumptions","2026-01-12"
"16","Assumptions/uu-assumptions-002-nl","uu-assumptions-002-nl","Aan welke van de volgende voorwaarden moet zijn voldaan voor een enkelvoudige regressie-analyse waarin je de score op Y voorspelt  uit de score op X?
Answerlist
----------
* Het verband tussen X en Y moet lineair zijn.
* De variabele $Y$ moet minimaal op intervalniveau zijn gemeten.
* De residuen $\hat{Y}$ behoren ongeveer normaalverdeeld te zijn.
* Er moet aan alle drie de voorwaarden zijn voldaan.
","schoice","Assumptions","Conceptual",NA,"Dutch","Statistical Literacy","43bed","Assumptions/Assumptions","2026-01-12"
"17","Assumptions/uu-assumptions-003-en","uu-assumptions-003-en","To see if there are outliers in x-space in a multiple regression analysis, look at
Answerlist
----------
* The Mahalanobis distance
* The Cook's distance
* The normality of the distribution of the dependent variable
* None of the above answers is correct
","schoice","Assumptions","Conceptual",NA,"English","Statistical Literacy","7eac8","Assumptions/Assumptions","2026-01-12"
"18","Assumptions/uu-assumptions-003-nl","uu-assumptions-003-nl","Om te kijken of er in een multipele regressie-analyse sprake is van uitschieters in de x-ruimte moet je kijken naar
Answerlist
----------
* De Mahalanobis distance
* De Cook's distance
* De normaliteit van de verdeling van de afhankelijke variabele
* Geen van de bovenstaande antwoorden is correct
","schoice","Assumptions","Conceptual",NA,"Dutch","Statistical Literacy","f5c3b","Assumptions/Assumptions","2026-01-12"
"19","Assumptions/uu-assumptions-004-en","uu-assumptions-004-en","Which of the following assumptions does NOT play a role in a repeated-measures analysis with one within-factor and one between-factor?
Answerlist
----------
* Homogeneity of variances
* Homogeneity of regression lines
* Normally distributed residuals
* Sphericity
","schoice","Assumptions","Performing analysis",NA,"English","Statistical Literacy","a68ec","Assumptions/Assumptions","2026-01-12"
"20","Assumptions/uu-assumptions-004-nl","uu-assumptions-004-nl","Welke van de onderstaande assumpties speelt GEEN rol bij een herhaalde-metingen analyse met één within-factor en één between-factor?
Answerlist
----------
* Homogeniteit van varianties
* Homogeniteit van regressielijnen
* Normaal verdeelde residuen
* Sphericiteit
","schoice","Assumptions","Performing analysis",NA,"Dutch","Statistical Literacy","4061d","Assumptions/Assumptions","2026-01-12"
"21","Assumptions/uu-assumptions-004-nl/uu-assumptions-009-nl","uu-assumptions-009-nl","Stel we hebben een scatterplot van variabele X en variabele Y. De scatterplot bevat een outlier. De outlier heeft grote invloed op de hellingshoek van de regressielijn, met andere woorden, de regressielijn verandert als de outlier wordt verwijderd. Kies het beste antwoord.
Answerlist
----------
* De outlier mag niet verwijderd worden uit de regressie-analyse
* De outlier mag wel verwijderd worden uit de regressie-analyse, maar dit dient te worden gerapporteerd
* De Mahalanobiswaarde van de outlier moet in het manuscript worden gerapporteerd
* Meerdere antwoorden zijn goed
","schoice","Assumptions","Conceptual",NA,"Dutch","Statistical Literacy","066c5","Assumptions/Assumptions","2026-01-12"
"22","Assumptions/uu-assumptions-005-en","uu-assumptions-005-en","TRUE should you look at in a multiple regression analysis, to check for outliers in XY space?
Answerlist
----------
* The Mahalanobis distance
* Cook's distance
* To the normality of the distribution of the dependent variable
* None of the above answers is correct
","schoice","Assumptions","Performing analysis",NA,"English","Statistical Literacy","6048c","Assumptions/Assumptions","2026-01-12"
"23","Assumptions/uu-assumptions-005-nl","uu-assumptions-005-nl","Waar moet je bij een multipele regressie-analyse naar kijken, om na te gaan of er sprake is van uitschieters in de XY-ruimte?
Answerlist
----------
* Naar de Mahalanobis distance
* Naar de Cook's distance
* Naar de normaliteit van de verdeling van de afhankelijke variabele
* Geen van de bovenstaande antwoorden is juist
","schoice","Assumptions","Performing analysis",NA,"Dutch","Statistical Literacy","f22f3","Assumptions/Assumptions","2026-01-12"
"24","Assumptions/uu-assumptions-009-en","uu-assumptions-009-en","Suppose we have a scatterplot of variable X and variable Y. The scatterplot contains an outlier. The outlier greatly affects the slope of the regression line, in other words, the regression line changes when the outlier is removed. Choose the best answer.
Answerlist
----------
* The outlier should not be removed from the regression analysis
* The outlier may be removed from the regression analysis, but this should be reported
* The Mahalanobis value of the outlier must be reported in the manuscript
* Multiple answers are good
","schoice","Assumptions","Conceptual",NA,"English","Statistical Literacy","3a012","Assumptions/Assumptions","2026-01-12"
"25","Assumptions/uu-assumptions-012-en","uu-assumptions-012-en","Which of the following statements about multiple linear regression analysis is/are correct?
I. Violating the assumption of homoscedasticity, some scores on an independent variable deviate significantly from the overall trend (outliers). II. Scatterplots can be used to assess by eye whether the assumption of linear relationships between variables is violated.
Answerlist
----------
* Both are correct
* I is correct, II is not correct
* I is not correct, II is correct
* I is not correct, II is not correct
","schoice","Assumptions","Conceptual",NA,"English","Statistical Literacy","dd05d","Assumptions/Assumptions","2026-01-12"
"26","Assumptions/uu-assumptions-012-nl","uu-assumptions-012-nl","Welke van onderstaande uitspraken over multipele lineaire regressieanalyse is/zijn juist?
I. Bij schending van de aanname van homoscedasticiteit wijken enkele scores op een onafhankelijke variabele sterk af van de algemene trend (outliers).
II. Met spreidingsdiagrammen kan men op het oog beoordelen of de aanname van lineaire relaties tussen de variabelen wordt geschonden.
Answerlist
----------
* Beide zijn juist
* I is juist, II is niet juist
* I is niet juist, II is juist
* I is niet juist, II is niet juist
","schoice","Assumptions","Conceptual",NA,"Dutch","Statistical Literacy","24eac","Assumptions/Assumptions","2026-01-12"
"27","Assumptions/uu-assumptions-013-en","uu-assumptions-013-en","Which of the following situations is not an assumption for correct interpretation of the results of a multiple linear regression analysis?
Answerlist
----------
* The observations used to collect the research data (variables) are dependent on each other.
* The distribution of the observed scores of the dependent variable Y around the best-fit regression line is approximately evenly distributed for the different values of the Xs.
* The prediction errors are normally distributed when the regression model is applied.
* The statistical relationship between the independent variables (Xs) in the model is not too strong.
","schoice","Assumptions","Performing analysis",NA,"English","Statistical Literacy","0d86e","Assumptions/Assumptions","2026-01-12"
"28","Assumptions/uu-assumptions-013-nl","uu-assumptions-013-nl","Welke van de onderstaande situaties is geen assumptie voor een correcte interpretatie van de resultaten van een multipele lineaire regressieanalyse?
Answerlist
----------
* De observaties die zijn gebruikt voor het verzamelen van de onderzoeksgegevens (variabelen) zijn afhankelijk van elkaar.
* De spreiding van de geobserveerde scores van de afhankelijke variabele Y rond de best passende regressielijn is ongeveer gelijk verdeeld voor de verschillende waarden van de X-en.
* De voorspellingsfouten zijn bij toepassing van het regressiemodel normaalverdeeld.
* De statistische samenhang tussen de onafhankelijke variabelen (X-en) in het model is niet te sterk.
","schoice","Assumptions","Performing analysis",NA,"Dutch","Statistical Literacy","f726e","Assumptions/Assumptions","2026-01-12"
"29","Assumptions/uu-assumptions-014-en","uu-assumptions-014-en","What is no assumption in multiple linear regression?
Answerlist
----------
* Dependent observations
* Homoscedasticity
* Normally distributed errors
* Linear relationships between the Xs and Y
","schoice","Assumptions","Conceptual",NA,"English","Statistical Literacy","3df4d","Assumptions/Assumptions","2026-01-12"
"30","Assumptions/uu-assumptions-014-nl","uu-assumptions-014-nl","Wat is **geen** assumptie bij multipele lineaire regressie?
Answerlist
----------
* Afhankelijke observaties
* Homoscedasticiteit
* Normaalverdeelde errors
* Lineaire relaties tussen de X-en en Y
","schoice","Assumptions","Conceptual",NA,"Dutch","Statistical Literacy","c1ffc","Assumptions/Assumptions","2026-01-12"
"31","Assumptions/uu-assumptions-200-en","uu-assumptions-200-en","Hamminga et al. want to perform a linear regression analysis. They assume that a sample has been drawn from a population in which X and Y are bivariate normally (simultaneously normal distribution for X and Y) distributed.
Which of the following properties need not hold?
Answerlist
----------
* The y-sections per x-value are normally distributed
* The y cross sections per x-value are homoscedastic
* Y depends linearly on X
* The y cross sections per x value all contain equal scores
","schoice","Assumptions","Conceptual",NA,"English","Statistical Literacy","bea3d","Assumptions/Assumptions","2026-01-12"
"32","Assumptions/uu-assumptions-200-nl","uu-assumptions-200-nl","Hamminga et al. willen een lineaire regressieanalyse uitvoeren. Zij gaan ervan uit dat er een steekproef is getrokken uit een populatie waarin X en Y bivariaat normaal (gelijktijdig normale verdeling voor X en Y) verdeeld zijn.
Welke van onderstaande eigenschappen hoeft er niet te gelden?
Answerlist
----------
* De y-doorsneden per x-waarde zijn normaalverdeeld
* De y-doorsneden per x-waarde zijn homoscedastisch
* Y hangt lineair af van X
* De y-doorsneden per x-waarde bevatten alle evenveel scores
","schoice","Assumptions","Conceptual",NA,"Dutch","Statistical Literacy","5f6b8","Assumptions/Assumptions","2026-01-12"
"33","Assumptions/uu-assumptions-202-en","uu-assumptions-202-en","To assess the assumptions for a regression analysis the table below is used.
![](uu-assumptions-202-en-tabel.jpg)
Answerlist
----------
* The presence of outliers in the Y-space has been checked and the condition is not met. In other words, the analysis may not be carried out.
* The presence of outliers in the X-space has been checked and the condition has been met. In other words, the analysis may be carried out.
* The presence of outliers in the XY-space has been checked and the condition is met. In other words, the analysis may be carried out.
* The presence of multicollinearity has been checked and the condition is not met. In other words, the analysis may not be carried out.
","schoice","Assumptions","Interpreting output","SPSS","English","Statistical Literacy","8ced4","Assumptions/Assumptions","2026-01-12"
