[R ERROR LOG: Wed Nov 27 12:02:46 2024]
[uu-Factor-loadings-001-nl, html]  The following files cannot be found: Factor-analysis/uu-Factor-loadings-001-nl/uu-Factor-loadings-001-nl.Rmd.
[vufgb-sumofsquares-015-nl-tv, tv]  length of exsolution (= 218) and questionlist (= 4) does not match in 'Inferential_Statistics_vufgb-sumofsquares-015-nl_vufgb-sumofsquares-015-nl'
[uu-Summary-Statistics-800-nl-tv, tv]  no exsolution specified
[uu-Standard-Deviation-801-nl-tv, tv]  no exsolution specified
[uu-Standard-Deviation-803-nl-tv, tv]  no exsolution specified
[uu-Standard-Deviation-800-nl-tv, tv]  no exsolution specified
[uu-Standard-Deviation-805-nl-tv, tv]  no exsolution specified
[uu-Histogram-802-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Histogram-802-nl/uu-Histogram-802-nl.Rmd.
[vufgb-bivariatestatistics-002-nl-tv, tv]  length of exsolution (= 4) and questionlist (= 3) does not match in 'Descriptive-statistics_vufgb-bivariatestatistics-002-nl_vufgb-bivariatestatistics-002-nl'
[vufgb-measuresoflocation-001-nl-tv, tv]  length of exsolution (= 2) and questionlist (= 4) does not match in 'Descriptive-statistics_vufgb-measuresoflocation-001-nl_vufgb-measuresoflocation-001-nl'
[uu-Measures-of-Spread-800-nl-tv, tv]  no exsolution specified
[vufgb-boxplot-002-nl-tv, tv]  no exsolution specified
